gene_id	gene_name	CD4	CD8
ENSG00000160075	SSU72	4890	7539
ENSG00000215014	AL645728.1	186	194
ENSG00000228594	FNDC10	132	206
ENSG00000272106	AL691432.2	285	318
ENSG00000197530	MIB2	1159	2879
ENSG00000189409	MMP23B	107	1041
ENSG00000248333	CDK11B	1356	2562
ENSG00000272004	FO704657.1	27	28
ENSG00000189339	SLC35E2B	728	1017
ENSG00000008128	CDK11A	2128	3713
ENSG00000215790	SLC35E2A	415	568
ENSG00000008130	NADK	518	1311
ENSG00000078369	GNB1	3326	5847
ENSG00000231050	AL109917.1	9	5
ENSG00000169885	CALML6	0	2
ENSG00000178821	TMEM52	2	2
ENSG00000142609	CFAP74	12	17
ENSG00000233542	AL391845.2	0	4
ENSG00000187730	GABRD	45	69
ENSG00000226969	AL391845.1	0	1
ENSG00000067606	PRKCZ	367	440
ENSG00000271806	AL590822.2	69	115
ENSG00000182873	PRKCZ-AS1	12	20
ENSG00000162585	FAAP20	2354	3888
ENSG00000234396	AL590822.1	0	0
ENSG00000157933	SKI	966	1500
ENSG00000116151	MORN1	74	82
ENSG00000157916	RER1	2191	4780
ENSG00000157911	PEX10	227	296
ENSG00000149527	PLCH2	146	254
ENSG00000224387	AL139246.1	4	5
ENSG00000229393	AL139246.4	0	0
ENSG00000157881	PANK4	193	438
ENSG00000197921	HES5	0	3
ENSG00000272449	AL139246.5	627	1387
ENSG00000238164	TNFRSF14-AS1	210	399
ENSG00000157873	TNFRSF14	3799	6520
ENSG00000228037	AL139246.3	97	48
ENSG00000157870	FAM213B	217	221
ENSG00000142606	MMEL1	27	15
ENSG00000237058	AL831784.1	0	0
ENSG00000215912	TTC34	36	37
ENSG00000283259	AC242022.1	0	0
ENSG00000233234	AL592464.2	0	0
ENSG00000231630	AL592464.1	0	0
ENSG00000284745	AL589702.1	0	0
ENSG00000169717	ACTRT2	0	0
ENSG00000177133	LINC00982	0	0
ENSG00000142611	PRDM16	0	3
ENSG00000226286	AL008733.1	0	0
ENSG00000272235	AL590438.1	0	0
ENSG00000130762	ARHGEF16	0	0
ENSG00000272088	AL512413.1	0	0
ENSG00000162591	MEGF6	248	66
ENSG00000238260	AL513320.1	11	10
ENSG00000158109	TPRG1L	1245	1818
ENSG00000116213	WRAP73	734	1523
ENSG00000078900	TP73	8	19
ENSG00000227589	AL136528.1	1	0
ENSG00000235131	AL136528.2	0	0
ENSG00000162592	CCDC27	1	0
ENSG00000235169	SMIM1	104	73
ENSG00000130764	LRRC47	704	1408
ENSG00000272153	AL365330.1	0	1
ENSG00000116198	CEP104	400	744
ENSG00000169598	DFFB	189	343
ENSG00000198912	C1orf174	835	2267
ENSG00000236423	LINC01134	1	3
ENSG00000233304	LINC01346	0	0
ENSG00000226374	LINC01345	0	0
ENSG00000284668	AL805961.1	0	0
ENSG00000284703	AL805961.2	4	3
ENSG00000235054	LINC01777	0	0
ENSG00000284694	AL355602.1	0	0
ENSG00000227169	Z98747.1	0	0
ENSG00000232596	LINC01646	0	0
ENSG00000196581	AJAP1	2	0
ENSG00000284739	BX005132.2	0	0
ENSG00000284674	BX005132.1	0	0
ENSG00000231510	AL691497.1	0	1
ENSG00000284616	AL139823.1	0	0
ENSG00000284692	Z98259.3	0	0
ENSG00000284666	Z98259.2	0	0
ENSG00000260972	Z98259.1	0	0
ENSG00000236948	AL365255.1	11	29
ENSG00000131697	NPHP4	64	85
ENSG00000069424	KCNAB2	1227	3045
ENSG00000116254	CHD5	4	11
ENSG00000116251	RPL22	23376	27623
ENSG00000226944	AL031847.1	7	5
ENSG00000158286	RNF207	181	80
ENSG00000116237	ICMT	234	659
ENSG00000225077	LINC00337	0	8
ENSG00000173673	HES3	0	0
ENSG00000158292	GPR153	4	215
ENSG00000097021	ACOT7	288	1372
ENSG00000271746	AL031848.2	85	79
ENSG00000069812	HES2	23	30
ENSG00000187017	ESPN	59	21
ENSG00000231868	AL031848.1	0	0
ENSG00000215788	TNFRSF25	2849	1545
ENSG00000171680	PLEKHG5	52	18
ENSG00000162408	NOL9	1050	1012
ENSG00000173662	TAS1R1	2	0
ENSG00000204859	ZBTB48	300	531
ENSG00000162413	KLHL21	270	462
ENSG00000116273	PHF13	77	135
ENSG00000041988	THAP3	447	774
ENSG00000007923	DNAJC11	299	475
ENSG00000228750	LINC01672	2	11
ENSG00000284744	AL591163.1	14	24
ENSG00000237436	CAMTA1-DT	5	8
ENSG00000171735	CAMTA1	1982	2866
ENSG00000237365	AL512330.1	0	0
ENSG00000237728	Z97987.1	0	0
ENSG00000225126	AL365194.1	0	0
ENSG00000270171	AL359881.3	0	0
ENSG00000270035	AL359881.2	2	0
ENSG00000269978	AL359881.1	3	1
ENSG00000049245	VAMP3	1026	1857
ENSG00000049246	PER3	149	185
ENSG00000236266	Z98884.1	4	15
ENSG00000049247	UTS2	580	2126
ENSG00000049249	TNFRSF9	28	249
ENSG00000116288	PARK7	5916	11249
ENSG00000284747	AL034417.4	11	20
ENSG00000284716	AL034417.3	6	11
ENSG00000116285	ERRFI1	33	85
ENSG00000238290	AL034417.2	0	0
ENSG00000227634	LINC01714	0	0
ENSG00000233645	AL358876.2	0	0
ENSG00000162426	SLC45A1	24	56
ENSG00000142599	RERE	996	1049
ENSG00000232912	AL096855.1	25	26
ENSG00000228423	AL357552.2	1	1
ENSG00000074800	ENO1	6606	11903
ENSG00000230679	ENO1-AS1	114	75
ENSG00000131686	CA6	91	7
ENSG00000197241	SLC2A7	0	0
ENSG00000142583	SLC2A5	4	3
ENSG00000180758	GPR157	95	68
ENSG00000228526	MIR34AHG	6	12
ENSG00000234546	LINC01759	3	6
ENSG00000049239	H6PD	535	679
ENSG00000171621	SPSB1	104	170
ENSG00000284652	BX323043.1	0	0
ENSG00000284693	AL928921.2	1	3
ENSG00000235263	AL928921.1	0	0
ENSG00000171612	SLC25A33	624	951
ENSG00000188807	TMEM201	69	166
ENSG00000171608	PIK3CD	1636	1882
ENSG00000179840	PIK3CD-AS1	13	35
ENSG00000231789	PIK3CD-AS2	54	41
ENSG00000171603	CLSTN1	1445	2770
ENSG00000178585	CTNNBIP1	426	1145
ENSG00000223989	AL357140.1	0	0
ENSG00000162441	LZIC	885	1478
ENSG00000173614	NMNAT1	136	176
ENSG00000162444	RBP7	109	184
ENSG00000130939	UBE4B	656	1144
ENSG00000054523	KIF1B	442	990
ENSG00000284735	AL139424.3	33	53
ENSG00000284642	AL139424.2	11	22
ENSG00000142657	PGD	514	1050
ENSG00000271989	AL139424.1	1	3
ENSG00000251503	CENPS-CORT	12	23
ENSG00000175279	CENPS	93	197
ENSG00000241563	CORT	0	4
ENSG00000160049	DFFA	602	1175
ENSG00000203469	AL354956.1	1	4
ENSG00000142655	PEX14	407	755
ENSG00000130940	CASZ1	343	1218
ENSG00000272078	AL139423.1	11	26
ENSG00000175262	C1orf127	0	0
ENSG00000120948	TARDBP	1663	2493
ENSG00000277726	AL109811.4	4	3
ENSG00000009724	MASP2	2	2
ENSG00000271895	AL109811.3	133	132
ENSG00000116649	SRM	2466	4087
ENSG00000171824	EXOSC10	623	1080
ENSG00000226849	AL109811.1	30	40
ENSG00000230337	AL109811.2	1	18
ENSG00000198793	MTOR	413	704
ENSG00000225602	MTOR-AS1	0	0
ENSG00000171819	ANGPTL7	0	0
ENSG00000120942	UBIAD1	655	957
ENSG00000284646	AL031291.1	0	0
ENSG00000204624	DISP3	10	9
ENSG00000235643	LINC01647	0	0
ENSG00000284708	AL031731.1	10	19
ENSG00000116661	FBXO2	219	454
ENSG00000132879	FBXO44	893	1426
ENSG00000116663	FBXO6	366	2108
ENSG00000116670	MAD2L2	954	2529
ENSG00000162490	DRAXIN	19	163
ENSG00000177674	AGTRAP	1057	3879
ENSG00000215910	C1orf167	0	6
ENSG00000177553	AL953897.1	2	1
ENSG00000177000	MTHFR	409	733
ENSG00000011021	CLCN6	160	323
ENSG00000242349	NPPA-AS1	21	34
ENSG00000175206	NPPA	0	0
ENSG00000120937	NPPB	0	0
ENSG00000116685	KIAA2013	779	2198
ENSG00000083444	PLOD1	43	542
ENSG00000116688	MFN2	297	573
ENSG00000116691	MIIP	780	1523
ENSG00000120949	TNFRSF8	6	8
ENSG00000028137	TNFRSF1B	2070	6200
ENSG00000048707	VPS13D	813	1089
ENSG00000229484	AC243836.1	0	0
ENSG00000162496	DHRS3	1304	777
ENSG00000272482	AC254633.1	1	5
ENSG00000204518	AADACL4	0	0
ENSG00000188984	AADACL3	0	0
ENSG00000157330	C1orf158	0	0
ENSG00000116726	PRAMEF12	0	0
ENSG00000116721	PRAMEF1	0	0
ENSG00000228338	LINC01784	0	0
ENSG00000239810	PRAMEF11	0	0
ENSG00000179172	HNRNPCL1	0	0
ENSG00000120952	PRAMEF2	0	0
ENSG00000243073	PRAMEF4	0	0
ENSG00000187545	PRAMEF10	0	0
ENSG00000204510	PRAMEF7	0	0
ENSG00000232423	PRAMEF6	0	0
ENSG00000274764	PRAMEF27	0	0
ENSG00000277058	HNRNPCL3	0	0
ENSG00000229571	PRAMEF25	0	0
ENSG00000275774	HNRNPCL2	0	0
ENSG00000233336	AC245056.1	0	0
ENSG00000280267	PRAMEF26	0	0
ENSG00000179412	HNRNPCL4	0	0
ENSG00000204505	PRAMEF9	0	0
ENSG00000279169	PRAMEF13	0	0
ENSG00000279804	PRAMEF18	0	0
ENSG00000270601	PRAMEF5	0	0
ENSG00000182330	PRAMEF8	0	0
ENSG00000237700	PRAMEF33	0	0
ENSG00000204501	PRAMEF15	0	0
ENSG00000228229	AC243961.1	0	0
ENSG00000204481	PRAMEF14	0	0
ENSG00000204480	PRAMEF19	0	0
ENSG00000204479	PRAMEF17	0	0
ENSG00000204478	PRAMEF20	0	0
ENSG00000162494	LRRC38	0	0
ENSG00000259961	AL354712.1	0	0
ENSG00000162493	PDPN	0	1
ENSG00000237445	AL359771.1	0	0
ENSG00000116731	PRDM2	3149	4556
ENSG00000189337	KAZN	3	2
ENSG00000231606	AL357873.1	0	0
ENSG00000234593	KAZN-AS1	0	0
ENSG00000175147	TMEM51-AS1	0	0
ENSG00000171729	TMEM51	4	13
ENSG00000204464	C1orf195	0	0
ENSG00000142621	FHAD1	6	21
ENSG00000233485	AL031283.2	1	2
ENSG00000236045	AL031283.3	0	0
ENSG00000228140	AL031283.1	14	146
ENSG00000142634	EFHD2	2713	15226
ENSG00000162438	CTRC	12	41
ENSG00000142615	CELA2A	1	6
ENSG00000215704	CELA2B	0	0
ENSG00000132906	CASP9	145	322
ENSG00000116138	DNAJC16	239	360
ENSG00000272510	AL121992.3	4	2
ENSG00000116771	AGMAT	243	146
ENSG00000237301	AL121992.1	5	3
ENSG00000197312	DDI2	647	1420
ENSG00000215695	RSC1A1	0	0
ENSG00000271742	AL121992.2	0	3
ENSG00000116786	PLEKHM2	1016	1558
ENSG00000237938	AL450998.3	0	1
ENSG00000162461	SLC25A34	34	29
ENSG00000224459	SLC25A34-AS1	0	0
ENSG00000162460	TMEM82	0	0
ENSG00000162458	FBLIM1	171	219
ENSG00000233954	UQCRHL	83	85
ENSG00000179743	AL450998.2	615	564
ENSG00000065526	SPEN	1382	2293
ENSG00000116809	ZBTB17	401	793
ENSG00000183888	SRARP	0	0
ENSG00000233078	AL355994.3	0	0
ENSG00000173641	HSPB7	0	0
ENSG00000186510	CLCNKA	0	0
ENSG00000184908	CLCNKB	0	0
ENSG00000185519	FAM131C	0	1
ENSG00000142627	EPHA2	0	2
ENSG00000227959	AL451042.2	0	0
ENSG00000224621	AL451042.1	0	0
ENSG00000234166	ARHGEF19-AS1	0	0
ENSG00000142632	ARHGEF19	163	331
ENSG00000132881	CPLANE2	14	47
ENSG00000037637	FBXO42	782	1282
ENSG00000055070	SZRD1	1660	3183
ENSG00000187144	SPATA21	29	31
ENSG00000157191	NECAP2	3490	3406
ENSG00000226029	LINC01772	300	197
ENSG00000261135	AL137802.2	11	22
ENSG00000224174	AL137802.1	1	0
ENSG00000233421	LINC01783	0	0
ENSG00000219481	NBPF1	70	123
ENSG00000271732	AL137798.1	0	0
ENSG00000282143	AL137798.2	0	0
ENSG00000279151	AL021920.1	0	0
ENSG00000282740	AL021920.3	0	0
ENSG00000058453	CROCC	339	410
ENSG00000223643	BX284668.1	0	0
ENSG00000228549	BX284668.2	0	0
ENSG00000238142	BX284668.5	139	179
ENSG00000272426	BX284668.6	49	49
ENSG00000117122	MFAP2	0	1
ENSG00000226526	AL049569.1	0	0
ENSG00000159363	ATP13A2	404	856
ENSG00000117118	SDHB	2223	3837
ENSG00000117115	PADI2	6	21
ENSG00000204362	AL590644.1	0	0
ENSG00000282843	AL590644.3	0	0
ENSG00000142623	PADI1	0	0
ENSG00000142619	PADI3	0	0
ENSG00000159339	PADI4	187	173
ENSG00000276747	PADI6	5	138
ENSG00000227751	AC004824.1	0	1
ENSG00000179051	RCC2	890	1889
ENSG00000074964	ARHGEF10L	10	36
ENSG00000236648	AL136529.1	0	0
ENSG00000117148	ACTL8	0	0
ENSG00000284653	AL357509.1	0	0
ENSG00000261781	LINC01654	0	0
ENSG00000117154	IGSF21	0	0
ENSG00000230035	IGSF21-AS1	0	0
ENSG00000225387	AL591896.1	0	0
ENSG00000179023	KLHDC7A	0	0
ENSG00000009709	PAX7	0	0
ENSG00000179002	TAS1R2	0	0
ENSG00000255275	AL080251.1	0	0
ENSG00000159423	ALDH4A1	10	74
ENSG00000169991	IFFO2	330	631
ENSG00000127481	UBR4	1313	2060
ENSG00000230424	AL035413.1	33	48
ENSG00000127463	EMC1	409	693
ENSG00000053372	MRTO4	1065	1252
ENSG00000162482	AKR7A3	6	10
ENSG00000053371	AKR7A2	1200	2548
ENSG00000040487	PQLC2	87	165
ENSG00000077549	CAPZB	7118	12162
ENSG00000235185	AL031727.2	0	0
ENSG00000173436	MINOS1	3142	4999
ENSG00000158747	NBL1	387	276
ENSG00000270136	MINOS1-NBL1	0	0
ENSG00000158748	HTR6	0	0
ENSG00000162542	TMCO4	332	594
ENSG00000178828	RNF186	0	0
ENSG00000235434	AL391883.1	0	0
ENSG00000169914	OTUD3	273	523
ENSG00000188784	PLA2G2E	0	0
ENSG00000188257	PLA2G2A	0	0
ENSG00000127472	PLA2G5	0	0
ENSG00000117215	PLA2G2D	0	2
ENSG00000158786	PLA2G2F	0	0
ENSG00000227066	Z98257.1	0	0
ENSG00000187980	PLA2G2C	7	19
ENSG00000225986	UBXN10-AS1	125	325
ENSG00000162543	UBXN10	23	125
ENSG00000228105	LINC01757	0	0
ENSG00000284710	Z98257.2	0	0
ENSG00000158816	VWA5B1	0	3
ENSG00000226664	AL020998.1	6	3
ENSG00000236963	LINC01141	0	0
ENSG00000226487	AL139254.1	0	0
ENSG00000284641	AL139254.2	0	0
ENSG00000284743	AL139254.3	0	0
ENSG00000162545	CAMK2N1	418	952
ENSG00000090432	MUL1	627	1193
ENSG00000183114	FAM43B	0	0
ENSG00000158825	CDA	102	213
ENSG00000158828	PINK1	422	648
ENSG00000117242	PINK1-AS	41	69
ENSG00000244038	DDOST	2402	5044
ENSG00000117245	KIF17	0	1
ENSG00000189410	SH2D5	0	1
ENSG00000233069	AL663074.1	0	0
ENSG00000127483	HP1BP3	3949	6695
ENSG00000075151	EIF4G3	532	2046
ENSG00000117298	ECE1	893	806
ENSG00000236936	AL031005.1	16	9
ENSG00000231105	AL031728.1	22	11
ENSG00000236009	AL592309.2	0	0
ENSG00000142794	NBPF3	58	115
ENSG00000162551	ALPL	1	6
ENSG00000233431	AL359815.1	0	0
ENSG00000076864	RAP1GAP	1	4
ENSG00000090686	USP48	1403	2189
ENSG00000187942	LDLRAD2	1	1
ENSG00000142798	HSPG2	21	3
ENSG00000219073	CELA3B	1	0
ENSG00000142789	CELA3A	0	0
ENSG00000228397	LINC01635	36	36
ENSG00000070831	CDC42	11268	17293
ENSG00000271840	AL031281.2	4	11
ENSG00000162552	WNT4	0	0
ENSG00000184677	ZBTB40	449	663
ENSG00000070886	EPHA8	0	0
ENSG00000173372	C1QA	19	42
ENSG00000159189	C1QC	3	10
ENSG00000173369	C1QB	16	24
ENSG00000133216	EPHB2	10	19
ENSG00000225952	AL512444.1	0	0
ENSG00000215906	LACTBL1	0	0
ENSG00000227868	TEX46	3	0
ENSG00000004487	KDM1A	639	941
ENSG00000240553	AL031428.1	1	0
ENSG00000169641	LUZP1	796	1601
ENSG00000179546	HTR1D	0	0
ENSG00000261326	LINC01355	62	60
ENSG00000284726	AL109936.6	10	17
ENSG00000125944	HNRNPR	4206	7595
ENSG00000125945	ZNF436	29	37
ENSG00000249087	ZNF436-AS1	19	44
ENSG00000271420	AL109936.2	2	1
ENSG00000204219	TCEA3	743	37
ENSG00000088280	ASAP3	2	3
ENSG00000007968	E2F2	50	156
ENSG00000235052	AL021154.1	8	0
ENSG00000117318	ID3	357	72
ENSG00000197880	MDS2	287	16
ENSG00000142676	RPL11	31140	39124
ENSG00000011007	ELOA	849	1693
ENSG00000236810	ELOA-AS1	132	133
ENSG00000057757	PITHD1	2859	4071
ENSG00000011009	LYPLA2	1165	2273
ENSG00000117308	GALE	164	286
ENSG00000117305	HMGCL	518	723
ENSG00000179163	FUCA1	151	445
ENSG00000188822	CNR2	25	105
ENSG00000232557	AL590609.3	0	1
ENSG00000189266	PNRC2	3189	4692
ENSG00000188529	SRSF10	5685	7152
ENSG00000225315	AL591178.1	0	0
ENSG00000142661	MYOM3	1	2
ENSG00000230703	AL591178.2	0	0
ENSG00000142677	IL22RA1	0	1
ENSG00000185436	IFNLR1	98	238
ENSG00000230023	AL590683.1	0	0
ENSG00000232298	AL138902.1	0	0
ENSG00000158055	GRHL3	0	0
ENSG00000001460	STPG1	98	140
ENSG00000001461	NIPAL3	1306	1677
ENSG00000117602	RCAN3	5728	821
ENSG00000264443	AL445686.2	1096	85
ENSG00000184454	NCMAP	4	1
ENSG00000133226	SRRM1	8165	12632
ENSG00000284699	AL445648.1	0	0
ENSG00000169504	CLIC4	51	87
ENSG00000020633	RUNX3	4822	13949
ENSG00000229162	AL445471.1	0	0
ENSG00000261025	AL445471.2	3	0
ENSG00000233755	AL050344.1	6	100
ENSG00000231953	AL031432.1	12	13
ENSG00000117614	SYF2	6513	9716
ENSG00000284657	AL031432.5	3	3
ENSG00000117616	RSRP1	7040	11030
ENSG00000272432	AL031432.3	51	41
ENSG00000187010	RHD	127	138
ENSG00000183726	TMEM50A	4950	10055
ENSG00000188672	RHCE	8	9
ENSG00000204178	MACO1	791	1157
ENSG00000157978	LDLRAP1	1842	1002
ENSG00000225643	AL606491.1	177	102
ENSG00000117643	MAN1C1	530	126
ENSG00000233478	AL031280.1	402	110
ENSG00000162430	SELENON	415	252
ENSG00000255054	AL020996.2	0	0
ENSG00000228172	AL020996.1	82	67
ENSG00000117640	MTFR1L	453	767
ENSG00000272478	AL020996.3	0	0
ENSG00000127423	AUNIP	6	29
ENSG00000236528	AL033528.2	9	11
ENSG00000182749	PAQR7	60	78
ENSG00000117632	STMN1	1187	3039
ENSG00000158006	PAFAH2	184	1248
ENSG00000158008	EXTL1	1	1
ENSG00000158014	SLC30A2	5	7
ENSG00000158022	TRIM63	0	0
ENSG00000175087	PDIK1L	265	291
ENSG00000197245	FAM110D	3	4
ENSG00000282872	C1orf232	0	0
ENSG00000236782	AL391650.1	0	0
ENSG00000142684	ZNF593	735	1470
ENSG00000142675	CNKSR1	46	11
ENSG00000188782	CATSPER4	0	0
ENSG00000130695	CEP85	68	175
ENSG00000142669	SH3BGRL3	17045	33199
ENSG00000158062	UBXN11	981	1008
ENSG00000169442	CD52	16308	27041
ENSG00000176092	CRYBG2	27	57
ENSG00000176083	ZNF683	163	1806
ENSG00000131914	LIN28A	1	4
ENSG00000117682	DHDDS	379	889
ENSG00000225891	AL513365.2	0	0
ENSG00000198830	HMGN2	6836	11778
ENSG00000117676	RPS6KA1	1038	3514
ENSG00000260063	AL512408.1	16	14
ENSG00000117713	ARID1A	2059	3727
ENSG00000060642	PIGV	127	285
ENSG00000204160	ZDHHC18	1117	1973
ENSG00000175793	SFN	11	11
ENSG00000226698	AL034380.1	0	0
ENSG00000142751	GPN2	571	850
ENSG00000198746	GPATCH3	545	918
ENSG00000090273	NUDC	2673	4603
ENSG00000131910	NR0B2	0	0
ENSG00000175707	KDF1	67	15
ENSG00000253368	TRNP1	4	3
ENSG00000158246	TENT5B	0	1
ENSG00000090020	SLC9A1	184	375
ENSG00000224311	AL590640.1	0	0
ENSG00000142784	WDTC1	507	1282
ENSG00000186501	TMEM222	959	1974
ENSG00000142765	SYTL1	2775	4965
ENSG00000142733	MAP3K6	129	300
ENSG00000142748	FCN3	1	0
ENSG00000174950	CD164L2	0	2
ENSG00000181773	GPR3	1	1
ENSG00000158195	WASF2	4463	7104
ENSG00000241169	FO393419.2	3	2
ENSG00000237429	BX293535.1	54	25
ENSG00000126705	AHDC1	187	514
ENSG00000000938	FGR	361	3079
ENSG00000233975	LINC02574	3	11
ENSG00000126709	IFI6	2704	6101
ENSG00000225886	AL445490.1	1	0
ENSG00000009780	FAM76A	805	1195
ENSG00000117758	STX12	1214	1729
ENSG00000117751	PPP1R8	547	969
ENSG00000130775	THEMIS2	645	2185
ENSG00000117748	RPA2	1270	3559
ENSG00000130768	SMPDL3B	1	6
ENSG00000227050	AL512288.1	2	0
ENSG00000158156	XKR8	329	744
ENSG00000158161	EYA3	298	536
ENSG00000169403	PTAFR	140	247
ENSG00000126698	DNAJC8	3375	6674
ENSG00000130770	ATP5IF1	5823	10233
ENSG00000270605	AL353622.1	147	244
ENSG00000271398	AL353622.2	7	6
ENSG00000130766	SESN2	146	563
ENSG00000130772	MED18	107	230
ENSG00000204138	PHACTR4	1775	2871
ENSG00000180198	RCC1	308	621
ENSG00000180098	TRNAU1AP	1109	2158
ENSG00000197989	SNHG12	1609	1761
ENSG00000120656	TAF12	931	2191
ENSG00000188060	RAB42	3	11
ENSG00000229388	LINC01715	9	6
ENSG00000270103	AL360012.1	102	160
ENSG00000162419	GMEB1	683	1508
ENSG00000198492	YTHDF2	2936	4263
ENSG00000116329	OPRD1	5	7
ENSG00000233427	AL009181.1	6	7
ENSG00000159023	EPB41	4154	5474
ENSG00000253304	TMEM200B	3	9
ENSG00000225750	AL357500.1	1	4
ENSG00000116350	SRSF4	4149	6679
ENSG00000116353	MECR	214	332
ENSG00000237934	AL590729.1	0	0
ENSG00000060656	PTPRU	0	2
ENSG00000230523	LINC01756	0	0
ENSG00000228176	AC092265.1	0	0
ENSG00000284676	AL645944.2	0	0
ENSG00000233399	LINC01648	0	0
ENSG00000233372	AL137076.1	0	0
ENSG00000236335	AL161638.2	0	0
ENSG00000231949	AL161638.1	0	0
ENSG00000162510	MATN1	14	15
ENSG00000186056	MATN1-AS1	300	202
ENSG00000162511	LAPTM5	10852	15507
ENSG00000229607	AL137027.1	0	0
ENSG00000223382	LINC01778	0	0
ENSG00000235143	AL445235.1	0	0
ENSG00000162512	SDC3	4	3
ENSG00000134644	PUM1	2281	3117
ENSG00000084628	NKAIN1	0	0
ENSG00000060688	SNRNP40	1125	2328
ENSG00000121766	ZCCHC17	835	2132
ENSG00000229044	AL451070.1	3	3
ENSG00000121769	FABP3	5	3
ENSG00000168528	SERINC2	15	31
ENSG00000229167	AC114488.1	0	0
ENSG00000142910	TINAGL1	0	0
ENSG00000121764	HCRTR1	0	0
ENSG00000162517	PEF1	1189	2197
ENSG00000235790	AC114488.2	3	8
ENSG00000264078	AC114488.3	8	28
ENSG00000084636	COL16A1	3	4
ENSG00000121753	ADGRB2	19	38
ENSG00000254545	AL354919.2	0	0
ENSG00000134668	SPOCD1	16	24
ENSG00000203620	AL354919.1	5	2
ENSG00000269967	AL136115.2	35	102
ENSG00000184007	PTP4A2	7459	14204
ENSG00000228634	AL136115.1	8	10
ENSG00000284702	AL136115.3	0	0
ENSG00000121774	KHDRBS1	4149	6344
ENSG00000203325	AL445248.1	144	269
ENSG00000121775	TMEM39B	217	359
ENSG00000025800	KPNA6	1869	2736
ENSG00000084652	TXLNA	358	906
ENSG00000160050	CCDC28B	290	1091
ENSG00000224066	AL049795.1	11	10
ENSG00000160051	IQCC	28	41
ENSG00000222046	DCDC2B	2	7
ENSG00000160055	TMEM234	107	290
ENSG00000084623	EIF3I	4062	6123
ENSG00000183615	FAM167B	32	95
ENSG00000182866	LCK	6363	12078
ENSG00000116478	HDAC1	2355	4752
ENSG00000175130	MARCKSL1	1480	1892
ENSG00000233775	AL109945.1	0	0
ENSG00000162526	TSSK3	19	17
ENSG00000225828	FAM229A	223	244
ENSG00000160058	BSDC1	2649	2843
ENSG00000254553	AL033529.1	0	0
ENSG00000273274	ZBTB8B	22	27
ENSG00000160062	ZBTB8A	41	85
ENSG00000176261	ZBTB8OS	1943	3952
ENSG00000162521	RBBP4	2754	4660
ENSG00000162520	SYNC	441	559
ENSG00000224409	AC114489.1	0	0
ENSG00000162522	KIAA1522	19	16
ENSG00000134684	YARS	1206	2835
ENSG00000116497	S100PBP	649	1156
ENSG00000160097	FNDC5	0	4
ENSG00000121905	HPCA	0	3
ENSG00000121900	TMEM54	2	2
ENSG00000116514	RNF19B	475	944
